# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.4593966   0.15605791 -3.02679189]
# Fvar:0.889744514279849
# FoM:47.14816724953128
# seed: 819692
# seed_gaps: 599353
# Time	Value	Error
2.710000000000000000e+02 7.117452092098871530e-01 1.628440320694446788e-02
2.715000000000000000e+02 2.983765352533505055e-01 7.157816575330542760e-03
2.727500000000000000e+02 2.629438791315783508e-01 8.259688739299341637e-03
2.740000000000000000e+02 5.008603475053839960e-01 2.382029124759133670e-02
2.767500000000000000e+02 8.398022730992295015e-01 2.738182105767097974e-02
2.770000000000000000e+02 7.285788449012116086e-01 1.939655223329135245e-02
2.805000000000000000e+02 6.706997630590493253e-01 1.390849969921677427e-02
2.807500000000000000e+02 1.114469148724407388e+00 1.502657117394474995e-02
2.815000000000000000e+02 1.218199470553207098e+00 1.318535724417600925e-02
2.847500000000000000e+02 7.030398687451864248e-01 1.843123474807236567e-02
2.862500000000000000e+02 4.561597791938932223e-01 1.285739522648484713e-02
2.875000000000000000e+02 5.209342579902745962e-01 7.526922472182877993e-03
2.890000000000000000e+02 6.380160135850097003e-01 1.235022888570173720e-02
2.922500000000000000e+02 2.131709591909122015e+00 2.241509515729836824e-02
2.930000000000000000e+02 2.367785112203411924e+00 1.533896982522885317e-02
2.977500000000000000e+02 3.343970762284651510e+00 6.139049225535288257e-02
2.990000000000000000e+02 5.715801901068969570e+00 8.385200333829501140e-02
3.040000000000000000e+02 3.045993221684519803e+00 2.135168911944815978e-02
3.045000000000000000e+02 3.058260204859709841e+00 2.206582054140665550e-02
3.047500000000000000e+02 2.432383536227348486e+00 2.524514585043644357e-02
3.052500000000000000e+02 2.082700465875273466e+00 3.338580390063467657e-02
3.060000000000000000e+02 2.294856619381256735e+00 3.842528352898531147e-02
3.072500000000000000e+02 2.226411978081618059e+00 3.038119601606091222e-02
3.075000000000000000e+02 2.559464677875860517e+00 2.628574618062833046e-02
3.090000000000000000e+02 8.688557494028144035e-01 2.035525014728797877e-02
3.097500000000000000e+02 9.377856206897012825e-01 1.100344177354946329e-02
3.100000000000000000e+02 8.092411587701634490e-01 1.085515536586626785e-02
3.102500000000000000e+02 1.175085502734426468e+00 3.305059765668918320e-02
3.110000000000000000e+02 2.573387380142359238e+00 2.393733101789610740e-02
3.115000000000000000e+02 5.514480729321339147e+00 4.284119194868551278e-02
3.127500000000000000e+02 1.225457344535245463e+00 1.637780271113226452e-02
3.135000000000000000e+02 1.216868752948147225e+00 3.161059599728918701e-02
3.152500000000000000e+02 9.101426333889014453e-01 1.619000174661840846e-02
3.157500000000000000e+02 5.072244125009567339e-01 7.808268841899047158e-03
3.180000000000000000e+02 8.023828694447117105e-01 1.532187396572306549e-02
3.200000000000000000e+02 1.369295485120352041e+00 1.450624939884647031e-02
3.205000000000000000e+02 7.732287366989034627e-01 2.039209095243145475e-02
3.235000000000000000e+02 6.493995143949288229e-01 1.240772920404837817e-02
3.242500000000000000e+02 2.595304241622650721e-01 1.799397676280333966e-02
3.262500000000000000e+02 1.454057966011416125e-01 4.356203422847875970e-03
3.275000000000000000e+02 2.810795826865593039e-01 6.381541895539203681e-03
3.285000000000000000e+02 5.250061588128003276e-01 1.589747625252087987e-02
3.312500000000000000e+02 1.736809792153944931e+00 2.743686365841903688e-02
3.335000000000000000e+02 9.120645913328071508e-01 3.134774589005968892e-02
3.345000000000000000e+02 1.658786154721117345e+00 3.435619418547610632e-02
3.375000000000000000e+02 5.164444216562118495e-01 1.025262249850131084e-02
3.407500000000000000e+02 6.747873422279576650e-01 9.011604439591378371e-03
3.410000000000000000e+02 6.468213107922641258e-01 2.067005382481030759e-02
3.417500000000000000e+02 4.110028662874378735e-01 1.902246289250505290e-02
3.425000000000000000e+02 3.016113093967414671e-01 7.572133585508924319e-03
3.457500000000000000e+02 5.416383583040849103e-01 1.120519427167262702e-02
3.470000000000000000e+02 5.252367651896692191e-01 1.111908646509739661e-02
3.477500000000000000e+02 3.954365047754528351e-01 6.863366857861428680e-03
3.482500000000000000e+02 3.762567388929604628e-01 6.711086996352993821e-03
3.495000000000000000e+02 2.300741854897034033e-01 9.799686792221566287e-03
3.497500000000000000e+02 2.259865918464842582e-01 1.220050137124592884e-02
3.500000000000000000e+02 1.128614324246821621e-01 9.881044393873670076e-03
3.505000000000000000e+02 9.379983274979614150e-02 5.668909964765870245e-03
3.510000000000000000e+02 2.256283090152430282e-01 7.700055502735675926e-03
3.515000000000000000e+02 6.425965948494942737e-01 1.318555600728704008e-02
3.535000000000000000e+02 1.153374175450479378e+00 2.221142068872216865e-02
3.550000000000000000e+02 1.358439776683581623e+00 1.985465714731843995e-02
3.555000000000000000e+02 1.732283260731767527e+00 4.446541756514708205e-02
3.590000000000000000e+02 2.740244974452436644e+00 2.942733021640744559e-02
3.595000000000000000e+02 3.274774104614620374e+00 4.814830886830555323e-02
3.597500000000000000e+02 2.905087412853874618e+00 2.934140547663259893e-02
3.600000000000000000e+02 2.425108538658819590e+00 2.389126635443217933e-02
3.607500000000000000e+02 1.097203662910385846e+00 1.990903257948670527e-02
3.620000000000000000e+02 4.855553115828705746e-01 1.532424410830797099e-02
3.622500000000000000e+02 5.281813105349887350e-01 8.013243334962494996e-03
3.632500000000000000e+02 8.442840838541896265e-01 1.121955196176633446e-02
3.672500000000000000e+02 1.156180651885759580e+00 1.785568360565475271e-02
3.687500000000000000e+02 1.516412536134582822e+00 2.355532854726032077e-02
3.697500000000000000e+02 1.593098141776821741e+00 2.829470908487576736e-02
3.707500000000000000e+02 2.712332267426336596e+00 2.006734601883938471e-02
3.717500000000000000e+02 4.395739611005879510e+00 4.106289456844817998e-02
3.722500000000000000e+02 3.838864251382446913e+00 3.359623935896455249e-02
3.730000000000000000e+02 1.283022818526244002e+00 2.643560873056678695e-02
3.775000000000000000e+02 1.099937405889706454e+00 2.294863844837846320e-02
3.787500000000000000e+02 9.488013689848789900e-01 1.167712358544389060e-02
3.807500000000000000e+02 1.855908277021458552e+00 3.141439569085540534e-02
3.845000000000000000e+02 1.213342208685576074e+00 1.844155414564147694e-02
3.852500000000000000e+02 7.785042290633951145e-01 1.239273483816160162e-02
3.900000000000000000e+02 2.037558887266768703e+00 2.700696094973607797e-02
3.907500000000000000e+02 2.227745260085725931e+00 2.541803896030521773e-02
3.920000000000000000e+02 1.493747185324109772e+00 2.501989845139099972e-02
3.922500000000000000e+02 1.841753527214435193e+00 1.413482568446309748e-02
3.927500000000000000e+02 2.434849538559494597e+00 1.711318245042044162e-02
3.930000000000000000e+02 2.966411282368682567e+00 2.246002043287035135e-02
3.942500000000000000e+02 1.261182350689662890e+00 2.910798591421443274e-02
4.010000000000000000e+02 1.956513616804670397e+00 4.814473278961490382e-02
4.017500000000000000e+02 2.194448334815334967e+00 2.429993115557900485e-02
4.037500000000000000e+02 5.113509746393525290e-01 7.098290530010030810e-03
4.050000000000000000e+02 1.434037824191531696e+00 2.667828034693267916e-02
4.070000000000000000e+02 1.622363423683742534e+00 4.111446326825064085e-02
4.100000000000000000e+02 2.203116254627438819e-01 5.912154479672033190e-03
4.105000000000000000e+02 1.619767791828766457e-01 5.384292354392636488e-03
4.125000000000000000e+02 9.160602040373077015e-01 1.287605780887514720e-02
4.142500000000000000e+02 1.084527554335563915e+00 1.818158236595153812e-02
4.150000000000000000e+02 6.320222345870727398e-01 2.370434753096936284e-02
4.170000000000000000e+02 8.937148156594854065e-01 2.105713504366569372e-02
4.187500000000000000e+02 1.228956684510629227e+00 3.995334054835660009e-02
4.195000000000000000e+02 1.648574141397731285e+00 3.775531224909500772e-02
4.207500000000000000e+02 1.437142874852755270e+00 3.967147437096050361e-02
4.227500000000000000e+02 1.711521884891789469e+00 1.381784837690065888e-02
4.232500000000000000e+02 1.791819107717768311e+00 1.969905904763565030e-02
4.255000000000000000e+02 1.738454647450717205e+00 3.635173536383530524e-02
4.280000000000000000e+02 4.481329427303260560e-01 8.910996907581953189e-03
4.287500000000000000e+02 4.953061078876082601e-01 1.365690770063563916e-02
4.312500000000000000e+02 1.569580554136449146e+00 1.591973402352227923e-02
4.335000000000000000e+02 1.455572661540091239e+00 3.506054107688166832e-02
4.345000000000000000e+02 1.256706594926406684e+00 1.515222989352656147e-02
4.347500000000000000e+02 1.546520475446367504e+00 1.325807584357099195e-02
4.357500000000000000e+02 1.158864085596515769e+00 2.808784985371262297e-02
4.370000000000000000e+02 2.032292922398689416e+00 2.196895741001601496e-02
4.375000000000000000e+02 2.852407213096193939e+00 6.664698927455929567e-02
4.385000000000000000e+02 8.786090862462008211e-01 9.740599613590352965e-03
4.387500000000000000e+02 8.460679183949449955e-01 1.756514211092008795e-02
4.410000000000000000e+02 1.457502813952185061e+00 3.654634739595892523e-02
4.427500000000000000e+02 5.725464370819736137e-01 9.744312829323717104e-03
4.452500000000000000e+02 6.991199601410720277e-01 2.606203298967497625e-02
4.455000000000000000e+02 5.425006290342648807e-01 2.037105181370313725e-02
4.495000000000000000e+02 4.750455016202738689e-01 7.543876093929011845e-03
4.500000000000000000e+02 4.262896521087887747e-01 1.976344833032576270e-02
4.517500000000000000e+02 1.131817147734234696e+00 1.685060719851782379e-02
4.532500000000000000e+02 9.814466455214864160e-01 2.189626816754445746e-02
4.562500000000000000e+02 2.542055608753793550e+00 2.077385269991054856e-02
4.577500000000000000e+02 1.700541277051366595e+00 4.852895983557214271e-02
4.590000000000000000e+02 1.638493953727405694e+00 2.888566136417327831e-02
4.592500000000000000e+02 1.493662531385262060e+00 2.079863257333458906e-02
4.595000000000000000e+02 1.402910738697383142e+00 1.474262276346372837e-02
4.662500000000000000e+02 1.887347304390705194e+00 2.357759443338153932e-02
4.672500000000000000e+02 2.414896542603832685e+00 3.711277507118209557e-02
4.692500000000000000e+02 1.092679031461414318e+00 1.124154745693203665e-02
4.720000000000000000e+02 2.613982840968473442e-01 1.435303152668556022e-02
4.732500000000000000e+02 1.147795748691956552e+00 2.315957872002968182e-02
4.750000000000000000e+02 8.683883162276971879e-01 1.233863967085088373e-02
4.772500000000000000e+02 1.651321011990951326e-01 4.383964174270253353e-03
4.782500000000000000e+02 3.567826654314251722e-01 1.546484493084151861e-02
4.785000000000000000e+02 3.056601553014197115e-01 6.448317570962173659e-03
4.792500000000000000e+02 4.165702344906145327e-01 7.360230778735265232e-03
4.812500000000000000e+02 6.347984485343084460e-01 2.044472195204294351e-02
4.817500000000000000e+02 7.849928770851591908e-01 2.380563373522514778e-02
4.845000000000000000e+02 4.521194975863181420e-01 1.929462430254855199e-02
4.852500000000000000e+02 2.567528526159567059e-01 5.108718784312751837e-03
4.887500000000000000e+02 3.315189980767550559e-01 7.679847259198426673e-03
4.897500000000000000e+02 6.414142611928594917e-01 9.443848020250538572e-03
4.905000000000000000e+02 1.067897675482680997e+00 4.045497000210392796e-02
4.907500000000000000e+02 1.344531060544368994e+00 1.535195530440575974e-02
4.922500000000000000e+02 1.495729586082653384e+00 2.767767279153243373e-02
4.950000000000000000e+02 1.138437182156646799e+00 2.181995181993093280e-02
4.982500000000000000e+02 3.884676233860705485e-01 2.345028020075983280e-02
4.987500000000000000e+02 3.947210458232264796e-01 7.467063970964373486e-03
4.990000000000000000e+02 3.857016235547435778e-01 1.487801369207513054e-02
5.025000000000000000e+02 2.963805252749053820e-01 1.026138830395114526e-02
5.052500000000000000e+02 8.795037237185472367e-01 1.712289202504676741e-02
5.055000000000000000e+02 9.159402475795367371e-01 2.331097183415448137e-02
5.062500000000000000e+02 1.143924008788835378e+00 2.701567282115815982e-02
5.077500000000000000e+02 4.154353476217910734e-01 1.611367665839878727e-02
5.092500000000000000e+02 2.007676380645955216e-01 1.755293033324003410e-02
5.097500000000000000e+02 3.874187606686208540e-01 1.332973455695459115e-02
5.107500000000000000e+02 3.711662169093148944e-01 6.205417532092823325e-03
5.115000000000000000e+02 6.274514965775925823e-01 1.694132267472125974e-02
5.140000000000000000e+02 5.584052142745341563e-01 9.735863950120531712e-03
5.155000000000000000e+02 7.355756632222203439e-01 1.220942270247154550e-02
5.180000000000000000e+02 1.336404495959451655e+00 1.663129823832963997e-02
5.192500000000000000e+02 1.019175695943053350e+00 1.708373644060079063e-02
5.195000000000000000e+02 1.036801269036705664e+00 1.455227469329941660e-02
5.210000000000000000e+02 4.185289572426862392e-01 1.591659267162674404e-02
5.215000000000000000e+02 5.905880391470808011e-01 1.916329417286825876e-02
5.217500000000000000e+02 8.166518118761507683e-01 3.168021673170796221e-02
5.232500000000000000e+02 5.744793729762158740e-01 1.081508501794438762e-02
5.235000000000000000e+02 7.340066790167258937e-01 1.327487567113040147e-02
5.252500000000000000e+02 1.086262456752651984e+00 1.325915917285950228e-02
5.300000000000000000e+02 8.204232547155355659e-01 1.759951645629772785e-02
5.312500000000000000e+02 2.294422324701780980e+00 5.758324159850450319e-02
5.342500000000000000e+02 2.457901866009415404e+00 3.685192028601742137e-02
5.375000000000000000e+02 2.280318888119274856e+00 2.359213437672490893e-02
5.385000000000000000e+02 4.467769820453821872e+00 4.900645873549649284e-02
5.390000000000000000e+02 2.759207314064738181e+00 4.275617828543771398e-02
